Bin,Actual Mean,Predicted Mean,Rows
1,0.010638297872340425,0.0063445849583384055,94.0
2,0.010638297872340425,0.009673297358046028,94.0
3,0.0,0.012268123197564627,94.0
4,0.02127659574468085,0.014658547434445862,94.0
5,0.010638297872340425,0.01635022391352735,94.0
6,0.031914893617021274,0.018191613987695313,94.0
7,0.02127659574468085,0.020420691073072133,94.0
8,0.010638297872340425,0.022759392266125566,94.0
9,0.010638297872340425,0.025256238455574478,94.0
10,0.010638297872340425,0.027962470458338957,94.0
11,0.021505376344086023,0.03038012517870756,93.0
12,0.010638297872340425,0.033317573070521946,94.0
13,0.0425531914893617,0.03640110888980762,94.0
14,0.010638297872340425,0.040055547414128104,94.0
15,0.05319148936170213,0.04432468096778383,94.0
16,0.0425531914893617,0.04901622701136247,94.0
17,0.06382978723404255,0.055242804173002875,94.0
18,0.0851063829787234,0.06173168743139965,94.0
19,0.1276595744680851,0.06965548901475023,94.0
20,0.10638297872340426,0.07716795168878045,94.0
21,0.07526881720430108,0.08411354757204845,93.0
22,0.10638297872340426,0.09312298199690898,94.0
23,0.09574468085106383,0.10216201507042327,94.0
24,0.09574468085106383,0.11149881953560804,94.0
25,0.0851063829787234,0.12175246376611372,94.0
26,0.19148936170212766,0.13128144650881296,94.0
27,0.1595744680851064,0.14100173972600769,94.0
28,0.10638297872340426,0.15199452002461386,94.0
29,0.1276595744680851,0.16483890596285333,94.0
30,0.11827956989247312,0.17688717239509483,93.0
31,0.2127659574468085,0.18977076175964303,94.0
32,0.26595744680851063,0.20431982204326737,94.0
33,0.14893617021276595,0.22084087228343885,94.0
34,0.20212765957446807,0.23589828051178302,94.0
35,0.26595744680851063,0.251126344430472,94.0
36,0.39361702127659576,0.2670527927742686,94.0
37,0.3191489361702128,0.2861589851281896,94.0
38,0.22340425531914893,0.30689993092720497,94.0
39,0.2978723404255319,0.32436600850917535,94.0
40,0.34408602150537637,0.339519192079794,93.0
41,0.3191489361702128,0.3569394576460806,94.0
42,0.39361702127659576,0.37561862105366806,94.0
43,0.425531914893617,0.39262282644935953,94.0
44,0.32978723404255317,0.409352104886937,94.0
45,0.39361702127659576,0.4288733298653062,94.0
46,0.425531914893617,0.45123969944754616,94.0
47,0.44680851063829785,0.47575815056262694,94.0
48,0.574468085106383,0.49702391746024754,94.0
49,0.5638297872340425,0.5198893538662455,94.0
50,0.6170212765957447,0.5424150899975069,94.0
51,0.6021505376344086,0.5648138055070199,93.0
52,0.5638297872340425,0.5852363511801788,94.0
53,0.5851063829787234,0.6105078592038193,94.0
54,0.574468085106383,0.6394801713985798,94.0
55,0.6170212765957447,0.6639891497256314,94.0
56,0.6914893617021277,0.6939967092718758,94.0
57,0.723404255319149,0.7267350520186431,94.0
58,0.8617021276595744,0.7609628436908262,94.0
59,0.8297872340425532,0.7955461186003403,94.0
60,0.8404255319148937,0.853807888551962,94.0
