"Number of Trees","Average Squared Error","Log Loss","Misclassification Rate","Data Source",
"1","0.097009825455","0.333072802488","0.121318514776","TRAIN",
"2","0.0895999658388","0.310778191211","0.121318514776","TRAIN",
"3","0.0837180979777","0.294828988994","0.121318514776","TRAIN",
"4","0.0788401545415","0.282147696072","0.121318514776","TRAIN",
"5","0.0749036807644","0.272155477064","0.11328618338","TRAIN",
"6","0.0715796909683","0.263743193572","0.0873200303107","TRAIN",
"7","0.0688658961253","0.256885528092","0.0793129578176","TRAIN",
"8","0.0665592795148","0.25087592393","0.0755493811569","TRAIN",
"9","0.0645920782242","0.245590068484","0.0724172770902","TRAIN",
"10","0.0629513673898","0.241148565021","0.0699166456176","TRAIN",
"11","0.0614793276061","0.236977087739","0.0685274059106","TRAIN",
"12","0.0602089979966","0.233339847436","0.066557211417","TRAIN",
"13","0.0591776161109","0.230217078232","0.065597373074","TRAIN",
"14","0.058275682212","0.227410663912","0.0646627936348","TRAIN",
"15","0.0574490613107","0.224626455593","0.0640565799444","TRAIN",
"16","0.0566449149401","0.221866353009","0.0633240717353","TRAIN",
"17","0.0559984056765","0.219667737111","0.0627936347563","TRAIN",
"18","0.0554011581692","0.217549722936","0.0622631977772","TRAIN",
"19","0.0549622288977","0.215831449141","0.0617327607982","TRAIN",
"20","0.0544697054214","0.213962688629","0.0612023238191","TRAIN",
"21","0.0539759317812","0.212113646888","0.0610255114928","TRAIN",
"22","0.0535528855555","0.210413667037","0.0605708512251","TRAIN",
"23","0.0532206193607","0.209020025731","0.0599646375347","TRAIN",
"24","0.0528489899078","0.207346620496","0.0597373074009","TRAIN",
"25","0.0526799178621","0.206634277404","0.0596362717858","TRAIN",
"26","0.0524172598243","0.205453464156","0.0597878252084","TRAIN",
"27","0.0521155051524","0.204202889004","0.0594847183632","TRAIN",
"28","0.0518661014591","0.20316536441","0.0592321293256","TRAIN",
"29","0.0515558504111","0.201774818305","0.0589542813842","TRAIN",
"30","0.051362635131","0.200895493379","0.0584996211164","TRAIN",
"31","0.0510484371884","0.199494764538","0.0586006567315","TRAIN",
"32","0.0508102435732","0.198464929013","0.0583228087901","TRAIN",
"33","0.0505049239409","0.197171494929","0.0579944430412","TRAIN",
"34","0.0503321417272","0.196341617634","0.0576155594847","TRAIN",
"35","0.0501295102036","0.19538260268","0.0577165950998","TRAIN",
"36","0.0499828592446","0.194701861805","0.0577165950998","TRAIN",
"37","0.0498088598461","0.193734716066","0.0575397827734","TRAIN",
"38","0.0496116775633","0.192814489191","0.0573124526396","TRAIN",
"39","0.0494836629909","0.192245887394","0.0572366759283","TRAIN",
"40","0.0493031208095","0.191340774632","0.0571356403132","TRAIN",
"41","0.0491153535842","0.19058570628","0.0568830512756","TRAIN",
"42","0.0490140294613","0.190041220394","0.0568577923718","TRAIN",
"43","0.0488290249487","0.189151783833","0.0566304622379","TRAIN",
"44","0.0486959137434","0.188504641887","0.0567062389492","TRAIN",
"45","0.0485264943382","0.187798012146","0.0566052033342","TRAIN",
"46","0.0483623027443","0.18698789479","0.0565294266229","TRAIN",
"47","0.0481604945532","0.186045448603","0.0562768375852","TRAIN",
"48","0.0480258293547","0.185312106644","0.056302096489","TRAIN",
"49","0.04786656204","0.184426260483","0.0563778732003","TRAIN",
"50","0.0476460070437","0.183284063371","0.056201060874","TRAIN",
"1","0.0969687793921","0.333005023758","0.121353215065","VALIDATE",
"2","0.0894755055758","0.31061616582","0.121353215065","VALIDATE",
"3","0.0836491653511","0.295014084168","0.121353215065","VALIDATE",
"4","0.0789049130703","0.282933704091","0.121353215065","VALIDATE",
