"Role","Training Importance","Importance Standard Deviation","Variable Name","Variable Label","Relative Importance",
"INPUT","89.2423369487","106.729477942","handset_age_grp","Handset Age Group","1",
"INPUT","84.3093251943","50.660805454","ever_days_over_plan","Total Days Over Plan","0.944723413539",
"INPUT","59.7875199636","32.6985830228","avg_days_susp","Days Suspended Last 6M","0.66994570075",
"INPUT","42.5022993739","4.55774030193","LOG_MB_Data_Usg_M06","Transformed MB of Data Usage Month 6","0.476257131168",
"INPUT","37.8759765368","9.94056652894","pymts_late_ltd","Total Late Payments Lifetime","0.424417130163",
"INPUT","36.226231989","2.59633128245","REP_CALLS_TOTAL","Replacement: Total Calls Curr","0.405931010186",
"INPUT","33.4262011392","14.4259772693","times_susp","Number of Times Suspended","0.374555421587",
"INPUT","21.8833478706","1.61499977873","REP_MB_DATA_USG_ROAMM03","Replacement: MB Data Usage Roam 3 Mths Prior","0.245212626863",
"INPUT","18.0298500491","16.6983033607","delinq_indicator","Delinquent Indicator","0.202032473214",
"INPUT","17.7401061699","2.63298469381","days_openwrkorders","Days of Open Work Orders","0.19878576443",
"INPUT","15.6614523517","2.60007084465","IMP_REP_MB_DATA_NDIST_MO6M","Imputed Replacement: 6M Avg Billed Data Usage Normally Distributed","0.175493525687",
"INPUT","11.1866358121","7.26878980043","IMP_REP_MOU_ONNET_PCT_MOM","Imputed Replacement: Minutes On Network Pct Change Month over Month","0.125351219999",
"INPUT","7.80579262812","5.56026741968","wrk_orders","Open Work Orders","0.0874673713734",
"INPUT","6.92200860519","1.2180321198","times_delinq","Consecutive Mths Delinquent","0.0775641790866",
