"Fit Statistics","Statistics Label","Model Name","Train","Validate",
"_RASE_","Root Average Squared Error","Gradient Boosting","0.218279653297","0.232974172085",
"_MiscCutoff_","Misclassification at Cutoff","Gradient Boosting","0.056201060874","0.0613543938233",
"_NObs_","Sum of Frequencies","Gradient Boosting","39590","16967",
"_GINI_","Gini Coefficient","Gradient Boosting","0.824972984367","0.625349806154",
"_GAMMA_","Gamma","Gradient Boosting","0.912047105049","0.750250103301",
"_formattedPartition_","Formatted Partition","Gradient Boosting","           1","           0",
"_MCE_","Misclassification Rate","Gradient Boosting","0.056201060874","0.0613543938233",
"_ASE_","Average Squared Error","Gradient Boosting","0.0476460070437","0.0542769648587",
"_MCLL_","Multi-Class Log Loss","Gradient Boosting","0.183284063371","0.216276548439",
"_MiscEvent_","Misclassification Rate (Event)","Gradient Boosting","0.0562010609","0.0613543938",
"_KS_","KS (Youden)","Gradient Boosting","0.685983437793","0.587329892403",
"_KSPostCutoff_","ROC Separation","Gradient Boosting","0.5654609596","0.5408787626",
"_DIV_","Divisor for ASE","Gradient Boosting","39590","16967",
"_TAU_","Tau","Gradient Boosting","0.175889232054","0.133365722914",
"_TargetName_","Target Name","Gradient Boosting","churn","churn",
"_KSCut_","KS Cutoff","Gradient Boosting","0.1","0.25",
"_C_","Area Under ROC","Gradient Boosting","0.912486492183","0.812674903077",
"_PartInd_","Partition Indicator","Gradient Boosting","1","0",
"_RASE_","Root Average Squared Error","Logistic Regression","0.263503559808","0.259906666698",
"_MiscCutoff_","Misclassification at Cutoff","Logistic Regression","0.0817883303865","0.0785053338834",
"_NObs_","Sum of Frequencies","Logistic Regression","39590","16967",
"_GINI_","Gini Coefficient","Logistic Regression","0.599301836061","0.621364215008",
"_GAMMA_","Gamma","Logistic Regression","0.688589862128","0.708099965377",
"_formattedPartition_","Formatted Partition","Logistic Regression","           1","           0",
"_MCE_","Misclassification Rate","Logistic Regression","0.0817883303865","0.0785053338834",
"_ASE_","Average Squared Error","Logistic Regression","0.0694341260313","0.0675514753941",
"_MCLL_","Multi-Class Log Loss","Logistic Regression","0.263383754767","0.256157129197",
"_MiscEvent_","Misclassification Rate (Event)","Logistic Regression","0.0817883304","0.0785053339",
"_KS_","KS (Youden)","Logistic Regression","0.539253187243","0.543552438117",
"_KSPostCutoff_","ROC Separation","Logistic Regression","0.401030432","0.420896343",
"_DIV_","Divisor for ASE","Logistic Regression","39590","16967",
"_TAU_","Tau","Logistic Regression","0.127774777733","0.132515732653",
"_TargetName_","Target Name","Logistic Regression","churn","churn",
"_KSCut_","KS Cutoff","Logistic Regression","0.2","0.2",
"_C_","Area Under ROC","Logistic Regression","0.799650918031","0.810682107504",
"_PartInd_","Partition Indicator","Logistic Regression","1","0",
"_RASE_","Root Average Squared Error","Decision Tree","0.241147512519","0.243417964014",
"_MiscCutoff_","Misclassification at Cutoff","Decision Tree","0.0660520333418","0.0666588082749",
"_NObs_","Sum of Frequencies","Decision Tree","39590","16967",
"_GINI_","Gini Coefficient","Decision Tree","0.62148597837","0.624518057523",
"_GAMMA_","Gamma","Decision Tree","0.776867544038","0.780096552414",
"_formattedPartition_","Formatted Partition","Decision Tree","           1","           0",
"_MCE_","Misclassification Rate","Decision Tree","0.0660520333418","0.0666588082749",
"_ASE_","Average Squared Error","Decision Tree","0.0581521227941","0.0592523052049",
"_MCLL_","Multi-Class Log Loss","Decision Tree","0.226747061046","0.231022461672",
"_MiscEvent_","Misclassification Rate (Event)","Decision Tree","0.0660520333","0.0666588083",
"_KS_","KS (Youden)","Decision Tree","0.564976383058","0.562493671726",
"_KSPostCutoff_","ROC Separation","Decision Tree","0.5176406806","0.5155863849",
"_DIV_","Divisor for ASE","Decision Tree","39590","16967",
"_TAU_","Tau","Decision Tree","0.132504571106","0.133188339381",
"_TargetName_","Target Name","Decision Tree","churn","churn",
"_KSCut_","KS Cutoff","Decision Tree","0.15","0.1",
"_C_","Area Under ROC","Decision Tree","0.810742989185","0.812259028762",
"_PartInd_","Partition Indicator","Decision Tree","1","0",
"_RASE_","Root Average Squared Error","Forest","0.229504637296","0.23810542988",
"_MiscCutoff_","Misclassification at Cutoff","Forest","0.0615559484718","0.0645959804326",
"_NObs_","Sum of Frequencies","Forest","39590","16967",
"_GINI_","Gini Coefficient","Forest","0.806452349455","0.633422371149",
"_GAMMA_","Gamma","Forest","0.898613307862","0.749268237266",
"_formattedPartition_","Formatted Partition","Forest","           1","           0",
"_MCE_","Misclassification Rate","Forest","0.0615559484718","0.0645959804326",
"_ASE_","Average Squared Error","Forest","0.0526723785402","0.0566941957384",
"_MCLL_","Multi-Class Log Loss","Forest","0.200176499139","0.222390233382",
"_MiscEvent_","Misclassification Rate (Event)","Forest","0.0615559485","0.0645959804",
"_KS_","KS (Youden)","Forest","0.643290456712","0.586568870585",
"_KSPostCutoff_","ROC Separation","Forest","0.5302947216","0.5129109827",
"_DIV_","Divisor for ASE","Forest","39590","16967",
"_TAU_","Tau","Forest","0.171940520625","0.135087324896",
"_TargetName_","Target Name","Forest","churn","churn",
"_KSCut_","KS Cutoff","Forest","0.1","0.2",
"_C_","Area Under ROC","Forest","0.903226174728","0.816711185574",
"_PartInd_","Partition Indicator","Forest","1","0",
